"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ABCC3",0,4.91795435203056,0.507,0.016,0,"CM5","ABCC3"
"SLC38A8",0,5.29254930992208,0.493,0.015,0,"CM5","SLC38A8"
"CDH11",0,4.54947407165077,0.442,0.019,0,"CM5","CDH11"
"HES1",1.41530697310804e-265,2.77884976668146,0.449,0.027,4.81402513832968e-261,"CM5","HES1"
"XIST",1.33791968652236e-240,2.43725040271818,0.942,0.15,4.55080002173717e-236,"CM5","XIST"
"IL1R1",1.29891308798791e-232,3.17554953070459,0.442,0.031,4.41812297748208e-228,"CM5","IL1R1"
"MID1",1.7112508327372e-228,3.29882039028174,0.84,0.143,5.8206485824723e-224,"CM5","MID1"
"LDLR",2.37842474511881e-224,2.84492387021758,0.517,0.046,8.08997392804711e-220,"CM5","LDLR"
"HRH1",3.5652770639429e-224,5.34568839926114,0.241,0.007,1.21269334052954e-219,"CM5","HRH1"
"NTN1",4.80738261185772e-213,3.04923120852405,0.915,0.202,1.63518312159729e-208,"CM5","NTN1"
"AC119673.2",9.67479718850893e-208,2.49893352332006,0.857,0.157,3.29078551569943e-203,"CM5","AC119673.2"
"ZFYVE28",2.20632473588658e-207,2.81333941129062,0.721,0.108,7.5045929566446e-203,"CM5","ZFYVE28"
"MCTP2",1.32909578233231e-206,3.54934018906117,0.548,0.06,4.52078639402513e-202,"CM5","MCTP2"
"XYLT1",5.44776624286083e-203,3.08019338259057,0.571,0.066,1.85300320984668e-198,"CM5","XYLT1"
"SLC6A6",1.09185035919095e-199,2.29406442632694,0.888,0.177,3.71381981175209e-195,"CM5","SLC6A6"
"ADAM19",4.50331675166476e-190,2.72365085221172,0.891,0.21,1.53175815991125e-185,"CM5","ADAM19"
"LINC02137",3.64095168984861e-186,2.76032862515062,0.741,0.129,1.23843330778511e-181,"CM5","LINC02137"
"MVP",1.49033498529373e-175,2.59361710921938,0.398,0.035,5.06922541897809e-171,"CM5","MVP"
"PLCG2",8.20541386587755e-173,2.36053678711921,0.69,0.112,2.79098947233959e-168,"CM5","PLCG2"
"EHD3",1.11745501834676e-171,2.49200852666751,0.531,0.066,3.80091149940467e-167,"CM5","EHD3"
"COLQ",2.37913963413625e-171,2.5146775299814,0.69,0.118,8.09240555155103e-167,"CM5","COLQ"
"TEAD4",6.69916525160619e-170,3.42965703684435,0.248,0.012,2.27865406868133e-165,"CM5","TEAD4"
"BMP5",1.87820722525991e-165,2.9648208375935,0.486,0.058,6.38853405599905e-161,"CM5","BMP5"
"ERC2",7.97662173050388e-163,2.96157380716711,0.459,0.052,2.71316811541359e-158,"CM5","ERC2"
"SPRED1",1.21773956795662e-162,2.02392631075553,0.844,0.184,4.14201936644766e-158,"CM5","SPRED1"
"C1QTNF1",6.22333500924609e-161,2.2447690083188,0.605,0.091,2.11680517004496e-156,"CM5","C1QTNF1"
"CACHD1",3.57824940560687e-160,3.73382843051665,0.238,0.012,1.21710575282312e-155,"CM5","CACHD1"
"ITGA3",1.05377606920893e-158,2.26312864676687,0.718,0.132,3.58431392180727e-154,"CM5","ITGA3"
"H19",1.13443951822116e-158,3.23088025519189,0.364,0.033,3.85868257727745e-154,"CM5","H19"
"L3MBTL4",3.50801147964773e-156,2.19588587936414,0.782,0.161,1.19321502468738e-151,"CM5","L3MBTL4"
"KIF26B",1.83375689180424e-154,2.38193772073068,0.973,0.349,6.23734069178293e-150,"CM5","KIF26B"
"PDIA5",5.62603795568206e-153,2.6284005869941,0.469,0.058,1.91364055024569e-148,"CM5","PDIA5"
"NAMPT",3.26965415010856e-152,2.54487245786378,0.935,0.314,1.11214016261792e-147,"CM5","NAMPT"
"AHNAK2",1.25631403269718e-151,5.69310645723384,0.129,0.002,4.27322655081619e-147,"CM5","AHNAK2"
"IRX3",2.7740034223286e-150,1.840261919302,0.663,0.114,9.43549524070851e-146,"CM5","IRX3"
"ADAM32",2.04339236752509e-145,2.34243905453443,0.52,0.074,6.95039479889983e-141,"CM5","ADAM32"
"EPHA4",1.26110136512557e-144,2.19463487100638,0.83,0.206,4.28951018333811e-140,"CM5","EPHA4"
"ACTN1",8.59504773090731e-143,1.87643133423084,0.878,0.214,2.92351953519081e-138,"CM5","ACTN1"
"SLCO5A1",4.67236557630364e-142,2.36872682742488,0.918,0.307,1.58925842712392e-137,"CM5","SLCO5A1"
"MTHFD1L",1.03575382798406e-141,2.61438551137063,0.463,0.061,3.52301307050497e-137,"CM5","MTHFD1L"
"UBASH3B",6.20995440078488e-140,4.92192148271119,0.17,0.006,2.11225388988297e-135,"CM5","UBASH3B"
"IL13RA1",6.86602571708344e-140,2.27182150477598,0.364,0.037,2.33540998740876e-135,"CM5","IL13RA1"
"TNFRSF11B",2.32997087401478e-136,2.6982244415109,0.299,0.025,7.92516293087388e-132,"CM5","TNFRSF11B"
"ST3GAL2",4.14091479877554e-132,1.98410292621499,0.558,0.092,1.40849075965551e-127,"CM5","ST3GAL2"
"PPFIBP1",2.06003067523736e-131,1.84079308234388,0.993,0.763,7.00698833875234e-127,"CM5","PPFIBP1"
"THBS1",2.46186589060136e-131,2.69779871989669,0.476,0.068,8.37379064029147e-127,"CM5","THBS1"
"BRINP3",7.44595243130545e-131,1.96829582260982,0.895,0.239,2.53266625998424e-126,"CM5","BRINP3"
"CTTNBP2",3.33503875081264e-130,2.99498074655313,0.279,0.023,1.13438008070141e-125,"CM5","CTTNBP2"
"NEAT1",1.04655192000555e-129,1.37667274405218,0.993,0.985,3.55974170070688e-125,"CM5","NEAT1"
"SLC2A13",3.26363952272544e-129,2.0127433940044,0.762,0.176,1.11009434725983e-124,"CM5","SLC2A13"
"STRIP2",9.92226997269627e-126,1.9394644340851,0.816,0.209,3.37496090851291e-121,"CM5","STRIP2"
"IRX5",1.60336162167298e-124,1.85977017501975,0.531,0.088,5.45367421995848e-120,"CM5","IRX5"
"RTN4",7.77369987058484e-124,1.96814079770506,0.847,0.236,2.64414627398073e-119,"CM5","RTN4"
"PHEX",1.23580580990601e-123,3.93000733665574,0.146,0.005,4.20346988181429e-119,"CM5","PHEX"
"MAN1A1",1.87550135023102e-122,1.91746429649357,0.84,0.224,6.37933029267578e-118,"CM5","MAN1A1"
"SEMA4B",7.52652336672618e-122,1.83554572861305,0.946,0.324,2.56007165795824e-117,"CM5","SEMA4B"
