"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PKD1L1",0,2.36528143864811,0.722,0.237,0,"EC1","PKD1L1"
"BTNL9",0,1.45799365056967,0.855,0.394,0,"EC1","BTNL9"
"RGCC",0,1.91037261954633,0.695,0.247,0,"EC1","RGCC"
"LPL",0,2.78697477401864,0.564,0.133,0,"EC1","LPL"
"LNX1",0,1.54837985689879,0.741,0.357,0,"EC1","LNX1"
"SLC9C1",0,1.89081651001965,0.579,0.203,0,"EC1","SLC9C1"
"ITGA6",0,1.76917100049497,0.747,0.384,0,"EC1","ITGA6"
"CA4",0,4.30528616382832,0.391,0.031,0,"EC1","CA4"
"MGLL",0,1.71949544946709,0.695,0.335,0,"EC1","MGLL"
"CD36",0,1.20498955452997,0.824,0.473,0,"EC1","CD36"
"MCF2L",0,1.27096787548605,0.786,0.445,0,"EC1","MCF2L"
"KLHL5",0,1.69540404394886,0.647,0.325,0,"EC1","KLHL5"
"ABLIM3",0,1.85155051806568,0.843,0.541,0,"EC1","ABLIM3"
"KIAA1217",0,1.37221879553165,0.873,0.634,0,"EC1","KIAA1217"
"EPB41L2",0,1.73837747909749,0.837,0.61,0,"EC1","EPB41L2"
"FOXN3",0,1.23153712315868,0.855,0.695,0,"EC1","FOXN3"
"PTPRM",0,0.854633302235405,0.961,0.908,0,"EC1","PTPRM"
"PRAG1",1.23119353447299e-296,2.20215703295927,0.511,0.194,4.18778168815644e-292,"EC1","PRAG1"
"NEURL1B",4.12426878145305e-287,1.77681727275678,0.547,0.217,1.40282878332344e-282,"EC1","NEURL1B"
"RASAL2",1.43680655494895e-280,0.911633137274865,0.895,0.728,4.88715381600337e-276,"EC1","RASAL2"
"ADGRF5",1.35373395286068e-268,1.0217996886942,0.816,0.584,4.60459066726031e-264,"EC1","ADGRF5"
"CCDC85A",1.01028804940581e-264,1.1886341704252,0.739,0.44,3.43639377124891e-260,"EC1","CCDC85A"
"CLIC5",8.08864741003705e-264,1.74845928771627,0.545,0.227,2.75127253005e-259,"EC1","CLIC5"
"F8",4.30946806509913e-257,1.11855316183505,0.772,0.51,1.46582246766282e-252,"EC1","F8"
"AC012613.1",2.94620168258757e-251,2.11747232720253,0.457,0.161,1.00212104031534e-246,"EC1","AC012613.1"
"TBCD",8.14557836950697e-243,1.20138976441041,0.691,0.393,2.7706370266041e-238,"EC1","TBCD"
"AC079921.1",3.36479526656965e-232,1.84184752388346,0.451,0.16,1.144501461971e-227,"EC1","AC079921.1"
"DTNA",6.16615370956181e-229,2.38404690853573,0.374,0.109,2.09735552277036e-224,"EC1","DTNA"
"CD300LG",4.39399129998709e-225,2.84813205884828,0.274,0.041,1.49457220077761e-220,"EC1","CD300LG"
"SEC14L1",4.99749857767176e-225,0.94089543928873,0.825,0.615,1.69984916620927e-220,"EC1","SEC14L1"
"ITGA1",3.63279941137458e-223,1.4487674255601,0.669,0.445,1.23566039178495e-218,"EC1","ITGA1"
"AQP1",1.30922134509813e-221,1.73394587523573,0.493,0.213,4.45318548321679e-217,"EC1","AQP1"
"RAPGEF1",2.91224697313692e-220,0.96673834788103,0.809,0.611,9.90571685442794e-216,"EC1","RAPGEF1"
"ABLIM1",7.64752837959541e-216,0.970644245712074,0.867,0.805,2.60123030303558e-211,"EC1","ABLIM1"
"FLT1",1.66088547392242e-213,0.839570851542767,0.903,0.746,5.64933585099971e-209,"EC1","FLT1"
