"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DCN",4.31634408709617e-229,1.16141496120038,0.969,0.794,1.46816127778489e-224,"FB1","DCN"
"GSN",9.611121402923e-229,1.66295592357334,0.925,0.686,3.26912683399023e-224,"FB1","GSN"
"SCARA5",8.37766673039067e-211,2.1784661302813,0.503,0.168,2.84957956167508e-206,"FB1","SCARA5"
"PCOLCE2",1.22775496124006e-187,1.75584548828296,0.679,0.34,4.17608572516195e-183,"FB1","PCOLCE2"
"MFAP5",8.24683890076086e-180,1.81159200397903,0.546,0.214,2.8050797837048e-175,"FB1","MFAP5"
"IGFBP6",2.48691699914654e-166,3.80760027144808,0.233,0.038,8.45899948089704e-162,"FB1","IGFBP6"
"MGST1",6.29646737927361e-155,1.53921407299002,0.539,0.227,2.14168041438613e-150,"FB1","MGST1"
"CFD",1.2286279636581e-144,1.87267733274394,0.624,0.312,4.17905515558666e-140,"FB1","CFD"
"PLA2G2A",2.25651214418017e-142,2.53208975223148,0.321,0.091,7.67530040721444e-138,"FB1","PLA2G2A"
"SESTD1",5.61752176047838e-125,1.15603015034788,0.681,0.406,1.91074385160912e-120,"FB1","SESTD1"
"KAZN",3.66175407198676e-124,1.76392303841423,0.618,0.365,1.24550903004558e-119,"FB1","KAZN"
"AKR1C1",2.57770243600968e-120,1.50068512427556,0.54,0.267,8.76779706584331e-116,"FB1","AKR1C1"
"TIMP1",4.10728551439953e-118,2.02849802055546,0.473,0.217,1.39705209486786e-113,"FB1","TIMP1"
"ACKR3",8.26930981265469e-110,2.47964755780125,0.24,0.064,2.81272303967636e-105,"FB1","ACKR3"
"SEMA3C",1.84897743086565e-109,1.72021995899944,0.318,0.106,6.28911183334643e-105,"FB1","SEMA3C"
"AL035446.2",2.32284953504989e-107,1.73208372102482,0.322,0.111,7.90094040851869e-103,"FB1","AL035446.2"
"APBB1IP",1.68172675800887e-99,3.37667681403839,0.118,0.014,5.72022539469137e-95,"FB1","APBB1IP"
"DOCK8",4.95305516054578e-99,2.51068113453453,0.167,0.033,1.68473218230804e-94,"FB1","DOCK8"
"FBLN2",7.8387175405477e-99,1.42893086996374,0.479,0.237,2.66626138424189e-94,"FB1","FBLN2"
"PLCB1",4.99094278486312e-95,0.834808782209502,0.757,0.524,1.69761927884334e-90,"FB1","PLCB1"
"S100A6",2.52955921365019e-94,1.53626495088607,0.424,0.194,8.60404270930975e-90,"FB1","S100A6"
"UAP1",2.16955654987457e-90,1.89154323379152,0.356,0.151,7.37952964874337e-86,"FB1","UAP1"
"LINC01133",3.76993866620367e-88,4.41345976697449,0.081,0.006,1.28230693792252e-83,"FB1","LINC01133"
"NFKBIZ",3.64732157639842e-85,0.99463353928085,0.624,0.381,1.24059996099616e-80,"FB1","NFKBIZ"
"CST3",4.24217952270586e-84,1.35868510883316,0.571,0.346,1.44293494285317e-79,"FB1","CST3"
"PXDNL",7.54968999043127e-80,0.798977993038111,0.806,0.629,2.56795155334529e-75,"FB1","PXDNL"
"ACTB",9.40568554337753e-80,1.46703601725061,0.405,0.195,3.19924988072443e-75,"FB1","ACTB"
"SERPING1",1.97836393042934e-79,1.21186625012213,0.489,0.262,6.72920707296236e-75,"FB1","SERPING1"
"DDR2",2.44808054803778e-79,0.928261834353388,0.672,0.462,8.3269011760957e-75,"FB1","DDR2"
"CD248",9.03382158478074e-73,3.03746694909508,0.113,0.02,3.07276407384732e-68,"FB1","CD248"
"CYP4B1",3.64646663136234e-72,1.78857664671913,0.217,0.071,1.24030915999159e-67,"FB1","CYP4B1"
"FBLN1",7.22582791152991e-72,1.18312624951313,0.461,0.251,2.45779310582778e-67,"FB1","FBLN1"
"FTL",5.34801536287494e-71,1.25436291943004,0.388,0.189,1.81907394552828e-66,"FB1","FTL"
