"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FP236383.3",0,9.75480758366766,0.672,0.004,0,"Peds_Ctrl","FP236383.3"
"MYL3",0,2.86437673127388,0.584,0.149,0,"Peds_Ctrl","MYL3"
"MYH6",0,5.64972327990066,0.423,0.012,0,"Peds_Ctrl","MYH6"
"MT-ND4L",0,3.47728800277496,0.492,0.091,0,"Peds_Ctrl","MT-ND4L"
"PKHD1L1",0,3.87085066593693,0.454,0.077,0,"Peds_Ctrl","PKHD1L1"
"MT-ATP8",0,4.1571052448136,0.428,0.052,0,"Peds_Ctrl","MT-ATP8"
"PCDH7",0,2.62256619556848,0.404,0.062,0,"Peds_Ctrl","PCDH7"
"PDE3A",0,3.61073992897908,0.411,0.074,0,"Peds_Ctrl","PDE3A"
"CDH11",0,3.39964577493883,0.387,0.058,0,"Peds_Ctrl","CDH11"
"LINC02388",0,2.73064482826778,0.398,0.071,0,"Peds_Ctrl","LINC02388"
"PDE1A",0,3.23736869683605,0.376,0.06,0,"Peds_Ctrl","PDE1A"
"PLA2G5",0,3.34988329275989,0.357,0.051,0,"Peds_Ctrl","PLA2G5"
"AKR1C1",0,4.41606561942437,0.319,0.028,0,"Peds_Ctrl","AKR1C1"
"PTGIS",0,3.64767396975571,0.329,0.049,0,"Peds_Ctrl","PTGIS"
"ABCA8",0,3.86853869429963,0.299,0.033,0,"Peds_Ctrl","ABCA8"
"CGNL1",0,3.67468534678723,0.3,0.036,0,"Peds_Ctrl","CGNL1"
"CFD",0,4.46785399660527,0.259,0.016,0,"Peds_Ctrl","CFD"
"ALDOA",0,5.27667729290488,0.203,0.007,0,"Peds_Ctrl","ALDOA"
"TMEM108",6.91987462692303e-303,3.49169541969661,0.282,0.032,2.3537261556016e-298,"Peds_Ctrl","TMEM108"
"FABP3",9.86176048136292e-299,3.00141205501218,0.365,0.069,3.35437921013078e-294,"Peds_Ctrl","FABP3"
"ADGRG6",4.8105445383508e-288,2.72473796294446,0.33,0.052,1.63625861927464e-283,"Peds_Ctrl","ADGRG6"
"XIST",1.54790060706267e-287,9.93126386473825,0.156,0,5.26502912486296e-283,"Peds_Ctrl","XIST"
"DAPK1",8.52594692729815e-286,2.36812817487319,0.373,0.072,2.90001558785119e-281,"Peds_Ctrl","DAPK1"
"GULP1",3.06266453807267e-281,2.66348778980137,0.463,0.126,1.04173471598004e-276,"Peds_Ctrl","GULP1"
"SMOC1",8.74196866932456e-281,2.29130564596317,0.294,0.039,2.97349322318406e-276,"Peds_Ctrl","SMOC1"
"TMEM132C",4.06137540036592e-280,1.89274168237428,0.355,0.063,1.38143622868047e-275,"Peds_Ctrl","TMEM132C"
"LRIG3",1.16483184517281e-279,3.10386675067581,0.335,0.06,3.96205903817078e-275,"Peds_Ctrl","LRIG3"
"GATA4",6.72843619004967e-277,3.30156426573882,0.284,0.039,2.2886102856835e-272,"Peds_Ctrl","GATA4"
"PRKG1",1.25194299048999e-275,2.70951007112553,0.469,0.143,4.25835888785264e-271,"Peds_Ctrl","PRKG1"
"INHBA",6.05534904982288e-271,5.94459319498407,0.174,0.006,2.05966642580675e-266,"Peds_Ctrl","INHBA"
"LINC02147",1.15140092079258e-267,2.08327130070458,0.538,0.182,3.91637509198389e-263,"Peds_Ctrl","LINC02147"
"HLA-C",3.19330703952443e-267,1.88787170135233,0.69,0.313,1.08617145642384e-262,"Peds_Ctrl","HLA-C"
"TFPI",7.65665258702098e-267,1.73372832171481,0.485,0.14,2.60433381094932e-262,"Peds_Ctrl","TFPI"
"BCO2",1.67400690572677e-263,2.80181973773917,0.309,0.051,5.69396708913904e-259,"Peds_Ctrl","BCO2"
"POSTN",4.43336754139573e-261,2.15465587487174,0.461,0.13,1.50796563553034e-256,"Peds_Ctrl","POSTN"
"CKM",9.86730587491054e-260,2.49993758141318,0.39,0.093,3.35626542029207e-255,"Peds_Ctrl","CKM"
"TMOD1",5.58423060825172e-254,2.7879474129894,0.337,0.068,1.89942019909074e-249,"Peds_Ctrl","TMOD1"
