"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADH1B",0,4.48998995150716,0.827,0.165,0,"Peds_Ctrl","ADH1B"
"CFD",0,3.78473063448963,0.794,0.139,0,"Peds_Ctrl","CFD"
"HIF3A",0,2.95755835633398,0.873,0.253,0,"Peds_Ctrl","HIF3A"
"MGST1",0,3.49237042190649,0.645,0.089,0,"Peds_Ctrl","MGST1"
"CATSPERB",0,4.14239002797168,0.596,0.072,0,"Peds_Ctrl","CATSPERB"
"TC2N",0,2.72550661475717,0.77,0.259,0,"Peds_Ctrl","TC2N"
"KAZN",0,3.94306471355968,0.737,0.236,0,"Peds_Ctrl","KAZN"
"PDK4",0,2.65462492325383,0.707,0.224,0,"Peds_Ctrl","PDK4"
"FP236383.3",0,8.78190957400777,0.481,0.004,0,"Peds_Ctrl","FP236383.3"
"EDNRB",0,3.70500845875528,0.529,0.06,0,"Peds_Ctrl","EDNRB"
"C3",0,3.05801852022696,0.533,0.066,0,"Peds_Ctrl","C3"
"ADAMTS5",0,3.08454904253676,0.56,0.1,0,"Peds_Ctrl","ADAMTS5"
"AKR1C1",0,2.96656261930358,0.616,0.156,0,"Peds_Ctrl","AKR1C1"
"GPX3",0,4.02097780608486,0.489,0.041,0,"Peds_Ctrl","GPX3"
"PTPRS",0,2.04804886818315,0.797,0.36,0,"Peds_Ctrl","PTPRS"
"SERPING1",0,2.32132820527593,0.587,0.151,0,"Peds_Ctrl","SERPING1"
"TGFBR3",0,2.43953238494575,0.754,0.32,0,"Peds_Ctrl","TGFBR3"
"GBE1",0,2.02380771310985,0.784,0.355,0,"Peds_Ctrl","GBE1"
"AC004160.1",0,2.14926475169184,0.683,0.255,0,"Peds_Ctrl","AC004160.1"
"SCARA5",0,3.08665738583249,0.503,0.083,0,"Peds_Ctrl","SCARA5"
"AOX1",0,3.29908862122808,0.493,0.075,0,"Peds_Ctrl","AOX1"
"ECE1",0,2.0967426836159,0.586,0.182,0,"Peds_Ctrl","ECE1"
"GLUL",0,2.12072950562674,0.587,0.183,0,"Peds_Ctrl","GLUL"
