"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"VCAN",1.47530176685879e-200,4.5126493431592,0.454,0.053,5.01809142979349e-196,"MP1","VCAN"
"FLT3",1.85094907356689e-154,3.68364967725421,0.316,0.024,6.29581817883042e-150,"MP1","FLT3"
"IL1R2",1.00556732244123e-128,3.94229227820813,0.289,0.028,3.42033669055161e-124,"MP1","IL1R2"
"PLXDC2",1.14938293470721e-103,1.16593363893899,0.895,0.555,3.90951111411311e-99,"MP1","PLXDC2"
"LDLRAD3",6.68378457642421e-99,2.79784683410892,0.339,0.068,2.27342248582493e-94,"MP1","LDLRAD3"
"LYZ",1.59225502330934e-97,3.05413631284276,0.271,0.039,5.41589623628438e-93,"MP1","LYZ"
"LRRK2",2.04464939330544e-94,2.01607569243204,0.515,0.18,6.95467044638913e-90,"MP1","LRRK2"
"SLC11A1",4.18146430545144e-89,1.98721480144167,0.548,0.216,1.42228326885625e-84,"MP1","SLC11A1"
"PRAM1",7.31429534044465e-87,3.46122627443856,0.217,0.025,2.48788441709884e-82,"MP1","PRAM1"
"FCN1",7.26062658897392e-85,6.55318716535979,0.126,0.001,2.46962952797359e-80,"MP1","FCN1"
"ADAM28",7.71157319778051e-83,1.86760104132498,0.519,0.2,2.62301450749306e-78,"MP1","ADAM28"
"ST6GALNAC3",2.21055465311449e-81,2.0723128957973,0.477,0.169,7.51898059710361e-77,"MP1","ST6GALNAC3"
"IRAK3",8.82965254721779e-78,1.24235316099861,0.756,0.425,3.00331801741066e-73,"MP1","IRAK3"
"ADGRE2",1.26928129502207e-75,2.43110551978993,0.281,0.059,4.31733339688808e-71,"MP1","ADGRE2"
"TLR2",1.27179146284322e-75,1.16914554674657,0.725,0.377,4.32587148171491e-71,"MP1","TLR2"
"SLC8A1",2.72424237960117e-74,1.0941757065545,0.812,0.513,9.26623802997543e-70,"MP1","SLC8A1"
"CLEC7A",5.42012434588921e-74,1.55761586144705,0.51,0.195,1.84360109501076e-69,"MP1","CLEC7A"
"FGD4",1.47579603133344e-68,1.1209980552976,0.733,0.413,5.01977262097755e-64,"MP1","FGD4"
"MAML3",3.52913030730137e-68,1.12920368776397,0.757,0.459,1.20039838272549e-63,"MP1","MAML3"
"S100Z",3.48145839475267e-67,2.25775713862989,0.246,0.049,1.18418325839117e-62,"MP1","S100Z"
"HLA-DRB1",1.71079295814859e-66,1.56802081238841,0.55,0.253,5.8190911678466e-62,"MP1","HLA-DRB1"
"KYNU",3.2790170162768e-66,1.74828905788279,0.545,0.254,1.11532484791639e-61,"MP1","KYNU"
"PLXNC1",4.14523134925338e-65,1.76531475446984,0.342,0.098,1.40995899113504e-60,"MP1","PLXNC1"
"DPYD",1.58992446364839e-64,0.96448153755945,0.878,0.763,5.40796907065362e-60,"MP1","DPYD"
"CIITA",5.86443157127041e-63,1.80615784067408,0.415,0.153,1.99472775465192e-58,"MP1","CIITA"
"CD74",6.507014252837e-63,1.38723982043362,0.6,0.291,2.21329582795998e-58,"MP1","CD74"
"MT-CO1",1.08317034441733e-62,1.1817259687581,0.856,0.658,3.68429560950109e-58,"MP1","MT-CO1"
"ENTPD1",1.18616583552976e-62,1.49628842879307,0.455,0.176,4.03462447297091e-58,"MP1","ENTPD1"
"GLT1D1",2.08512295475565e-61,4.00411542192534,0.126,0.009,7.09233721830586e-57,"MP1","GLT1D1"
"CSF3R",1.89727679766498e-60,1.97340081772641,0.355,0.118,6.45339729957765e-56,"MP1","CSF3R"
"SULT1B1",1.06676098490571e-59,2.67731180226542,0.19,0.032,3.62848081405828e-55,"MP1","SULT1B1"
"FGR",1.11958892749761e-59,1.99113627625644,0.315,0.092,3.80816977799038e-55,"MP1","FGR"
"CSF2RA",1.51950035911172e-59,1.74630563487084,0.496,0.217,5.16842852148259e-55,"MP1","CSF2RA"
"TPST1",1.98012684481907e-59,2.30702032214549,0.287,0.079,6.73520344996759e-55,"MP1","TPST1"
"IL13RA1",9.80549476051262e-59,1.35467239995328,0.513,0.228,3.33524098784076e-54,"MP1","IL13RA1"
"DOCK5",2.40917661076665e-56,1.22837559660071,0.635,0.347,8.1945733238617e-52,"MP1","DOCK5"
"RNF149",6.6126703044225e-56,1.11133434217538,0.737,0.476,2.24923367734627e-51,"MP1","RNF149"
"SIPA1L1",7.41034311116178e-56,1.47241442086766,0.675,0.427,2.52055410583057e-51,"MP1","SIPA1L1"
"USP53",9.37443493941376e-55,1.56892351287246,0.536,0.273,3.1886203002922e-50,"MP1","USP53"
"PTPRE",1.28299396171539e-54,1.22069296745771,0.607,0.318,4.36397566137872e-50,"MP1","PTPRE"
"MNDA",2.99241046510547e-54,2.138090952355,0.248,0.063,1.01783849560098e-49,"MP1","MNDA"
"MT-CO3",3.38194141582741e-53,1.02306714077316,0.829,0.617,1.15033355317954e-48,"MP1","MT-CO3"
"HIPK2",8.83542434284826e-52,1.23259991274746,0.517,0.245,3.00528123597641e-47,"MP1","HIPK2"
"HLA-DRA",1.21033498296465e-51,1.46315850110295,0.401,0.155,4.11683341105595e-47,"MP1","HLA-DRA"
"ST18",1.28198120125776e-51,2.34654462463053,0.206,0.045,4.36053085795813e-47,"MP1","ST18"
"CLEC12A",1.36406688934274e-49,2.09599180285464,0.23,0.058,4.6397371174104e-45,"MP1","CLEC12A"
"MIR181A1HG",2.89868643265505e-49,1.20630152163406,0.535,0.269,9.8595920320329e-45,"MP1","MIR181A1HG"
"MAP2K1",8.57252106854825e-49,1.10574720613135,0.604,0.335,2.915857316256e-44,"MP1","MAP2K1"
"MT-CO2",5.91896331232119e-48,1.12491643780966,0.763,0.563,2.01327618105293e-43,"MP1","MT-CO2"
"ADAMTS2",1.78183218912695e-47,2.02997911146075,0.283,0.093,6.0607240080964e-43,"MP1","ADAMTS2"
"INSR",2.04395778783827e-47,1.38311865397737,0.522,0.265,6.95231801955311e-43,"MP1","INSR"
"JAML",3.59423081899838e-47,1.44079144423726,0.292,0.093,1.22254167077411e-42,"MP1","JAML"
"RASSF2",4.53771176415966e-47,1.75603402603819,0.337,0.125,1.54345727946127e-42,"MP1","RASSF2"
"ALOX15B",6.45976848906502e-47,2.3527215657276,0.156,0.027,2.19722565387058e-42,"MP1","ALOX15B"
"PRKCE",3.38985804728018e-46,1.14733581858373,0.584,0.324,1.15302631620188e-41,"MP1","PRKCE"
"AQP9",1.46385684232781e-45,4.30875359431291,0.099,0.008,4.97916266349381e-41,"MP1","AQP9"
"SH3PXD2B",2.18655340773643e-45,1.35216791578533,0.458,0.221,7.43734276107468e-41,"MP1","SH3PXD2B"
"SLC22A15",2.48911859210455e-45,1.71308819732643,0.266,0.082,8.46648797918441e-41,"MP1","SLC22A15"
"SGMS2",3.0530316107194e-45,1.89160889686376,0.226,0.061,1.0384581720701e-40,"MP1","SGMS2"
"MEGF9",4.3047041217658e-45,1.49040420065135,0.391,0.165,1.46420205997742e-40,"MP1","MEGF9"
"ZNF804A",1.07512769013747e-44,2.03603920645968,0.195,0.046,3.6569393252336e-40,"MP1","ZNF804A"
"IFNGR2",4.33894589850416e-44,1.35843703555174,0.454,0.218,1.47584905791721e-39,"MP1","IFNGR2"
"CD1C",6.62450453837888e-44,6.34773594711228,0.069,0.002,2.25325897368419e-39,"MP1","CD1C"
"CEACAM4",1.88389165599081e-43,3.25194859399405,0.107,0.011,6.40786907868714e-39,"MP1","CEACAM4"
"VSIR",4.65457794996873e-43,1.18629290799744,0.397,0.167,1.58320814390236e-38,"MP1","VSIR"
"IFNGR1",9.59986000614969e-43,1.04921734662997,0.54,0.286,3.26529638249175e-38,"MP1","IFNGR1"
"MT-ND3",5.24244226628307e-42,1.08875405842433,0.65,0.414,1.78316431245352e-37,"MP1","MT-ND3"
"PHC2",1.11269676157655e-41,1.32302811418224,0.446,0.217,3.78472676482649e-37,"MP1","PHC2"
"CD1D",1.22981641241788e-41,3.87360887686644,0.095,0.009,4.18309754519818e-37,"MP1","CD1D"
"TBXAS1",1.39561122216175e-41,0.676604642578718,0.832,0.585,4.74703201106099e-37,"MP1","TBXAS1"
"AC009093.2",1.47278760322831e-41,1.46150772586508,0.467,0.233,5.00953975362077e-37,"MP1","AC009093.2"
"LAPTM5",2.54313242898804e-41,1.31404368861099,0.423,0.196,8.65021064395993e-37,"MP1","LAPTM5"
"CSGALNACT2",3.14058084253119e-41,1.31737454141972,0.414,0.193,1.06823716777856e-36,"MP1","CSGALNACT2"
"SSH2",6.56849448523814e-41,0.737548390375217,0.853,0.736,2.2342077142089e-36,"MP1","SSH2"
"MARCH1",7.10402602855567e-41,0.922151833623185,0.626,0.368,2.41636341335293e-36,"MP1","MARCH1"
"ZEB2",1.81441635886427e-40,0.861374359020657,0.828,0.627,6.17155580304094e-36,"MP1","ZEB2"
"MTRNR2L12",2.09332684149559e-40,2.53590686604096,0.172,0.04,7.12024191866309e-36,"MP1","MTRNR2L12"
"KCNAB2",3.17185146459412e-40,1.25438427147906,0.386,0.167,1.07887355716704e-35,"MP1","KCNAB2"
"MYO1F",6.07459613723729e-40,1.1028534027389,0.59,0.355,2.06621313011989e-35,"MP1","MYO1F"
"CCDC88A",6.65355030322371e-40,0.949560954394411,0.577,0.327,2.26313860013851e-35,"MP1","CCDC88A"
"AP001636.3",8.30643269005037e-40,1.98059786385231,0.217,0.064,2.82535001519373e-35,"MP1","AP001636.3"
"AHR",2.39645214065316e-39,1.19590534319518,0.42,0.2,8.15129231121766e-35,"MP1","AHR"
"ARHGAP26",3.99790465484474e-39,0.723567383595055,0.811,0.625,1.35984728929889e-34,"MP1","ARHGAP26"
"ZDHHC20",6.42878738318383e-39,1.18841903560773,0.418,0.196,2.18668774051615e-34,"MP1","ZDHHC20"
"CLEC10A",2.94574811322015e-38,2.3196122798713,0.161,0.037,1.0019667632307e-33,"MP1","CLEC10A"
"AC093849.4",3.41337014402574e-38,1.813932007709,0.253,0.088,1.16102372078892e-33,"MP1","AC093849.4"
"SAT1",7.15675470064814e-38,0.857070269452894,0.721,0.496,2.43429854387846e-33,"MP1","SAT1"
"PRKAG2",1.03914907328787e-37,0.98978253125836,0.639,0.412,3.53456165788138e-33,"MP1","PRKAG2"
"THBS1",1.05205319033213e-37,0.800763914378148,0.279,0.1,3.57845372159571e-33,"MP1","THBS1"
"AL034397.3",1.35527975799287e-37,1.59386560419388,0.308,0.12,4.60984856883695e-33,"MP1","AL034397.3"
"TYMP",1.81579656262619e-37,1.58799195126363,0.293,0.112,6.17625042811673e-33,"MP1","TYMP"
